Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.89     0.00       84     0.00     0.00  fmt::v10_lmp::detail::vformat_to<char>(fmt::v10_lmp::detail::buffer<char>&, fmt::v10_lmp::basic_string_view<char>, fmt::v10_lmp::detail::vformat_args<char>::type, fmt::v10_lmp::detail::locale_ref)::format_handler::on_format_specs(int, char const*, char const*)
  0.00      0.89     0.00       83     0.00     0.00  LAMMPS_NS::Pair* style_creator<LAMMPS_NS::Pair, LAMMPS_NS::PairBorn>(LAMMPS_NS::LAMMPS*)
  0.00      0.89     0.00       72     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, LAMMPS_NS::Compute* (*)(LAMMPS_NS::LAMMPS*, int, char**), std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Compute* (*)(LAMMPS_NS::LAMMPS*, int, char**)> > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.89     0.00       71     0.00     0.00  fmt::v10_lmp::appender fmt::v10_lmp::detail::write_float<char, fmt::v10_lmp::appender, double>(fmt::v10_lmp::appender, double, fmt::v10_lmp::format_specs<char>, fmt::v10_lmp::detail::locale_ref)
  0.00      0.89     0.00       71     0.00     0.00  int fmt::v10_lmp::detail::format_float<double>(double, int, fmt::v10_lmp::detail::float_specs, fmt::v10_lmp::detail::buffer<char>&)
  0.00      0.89     0.00       71     0.00     0.00  fmt::v10_lmp::appender fmt::v10_lmp::detail::do_write_float<fmt::v10_lmp::appender, fmt::v10_lmp::detail::big_decimal_fp, char, fmt::v10_lmp::detail::digit_grouping<char> >(fmt::v10_lmp::appender, fmt::v10_lmp::detail::big_decimal_fp const&, fmt::v10_lmp::format_specs<char> const&, fmt::v10_lmp::detail::float_specs, fmt::v10_lmp::detail::locale_ref)
  0.00      0.89     0.00       68     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Compute* (*)(LAMMPS_NS::LAMMPS*, int, char**)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Compute* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Compute* (*)(LAMMPS_NS::LAMMPS*, int, char**)> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Compute* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.89     0.00       65     0.00     0.00  LAMMPS_NS::Atom::remove_custom(int, int, int)
  0.00      0.89     0.00       62     0.00     0.00  LAMMPS_NS::NStencil::bin_distance(int, int, int)
  0.00      0.89     0.00       60     0.00     0.00  fmt::v10_lmp::detail::dragonbox::get_cached_power(int)
  0.00      0.89     0.00       56     0.00     0.00  fmt::v10_lmp::detail::bigint::assign_pow10(int)
  0.00      0.89     0.00       56     0.00     0.00  LAMMPS_NS::utils::strmatch(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.89     0.00       56     0.00     0.00  re_compile
  0.00      0.89     0.00       56     0.00     0.00  re_match
  0.00      0.89     0.00       55     0.00     0.00  void fmt::v10_lmp::detail::buffer<char>::append<char>(char const*, char const*)
  0.00      0.89     0.00       53     0.00     0.00  LAMMPS_NS::utils::strdup(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.89     0.00       52     0.00     0.00  fmt::v10_lmp::detail::format_decimal_result<char*> fmt::v10_lmp::detail::format_decimal<char, unsigned int>(char*, unsigned int, int)
  0.00      0.89     0.00       50     0.00     0.00  fmt::v10_lmp::appender fmt::v10_lmp::detail::fill<fmt::v10_lmp::appender, char>(fmt::v10_lmp::appender, unsigned long, fmt::v10_lmp::detail::fill_t<char> const&)
